,ref,ans,bleu-1,bleu-2,bleu-3,bleu-4
0,no wait emily no wait stop emily please,you're a genius,0.0,0.0,0.0,0.0
1,goodbye muscles,aww man now we won't be bank buddies,0.0,0.0,0.0,0.0
2,yeah because i was,now there's two reasons,0.0,0.0,0.0,0.0
3,no,hey,0.0,0.0,0.0,0.0
4,hey,hey,1.0,0.0,0.0,0.0
5,they say he's only got half a tank left,ohh you guys remember that cute client i told you about i bit him,0.0,0.0,0.0,0.0
6,that wig all in disarray and boobs flung over the night stand y'know,where,0.0,0.0,0.0,0.0
7,oh and keep in mind now i was carrying triplets so in y'know medical terms i wasi was thrice as randy,on the touchy,0.0,0.0,0.0,0.0
8,this doesn't mean anything does it,and,0.0,0.0,0.0,0.0
9,can they handle the stick,no i know,0.0,0.0,0.0,0.0
10,i can't believe it can i tell you something i'm a little mad at him now,ii'm sorry but the moment i touch him i just wanna throw out my old oath and take a new dirty one,0.18181818,0.0,0.0,0.0
11,wait wait did you say 'gstephanopoulos',well next time your massaging him you should try and distract yourself,0.08333333,0.0,0.0,0.0
12,well ah y'know,yeah yeah yeah likelike when i'm doing something exciting and i don't wanna get,0.0,0.0,0.0,0.0
13,oh hey how are you guys doing,thank you joey,0.08786571,0.0,0.0,0.0
14,dude you didn't say,nono thank you,0.23884377,0.0,0.0,0.0
15,here you go,well well well joey tribbiani so you came back huh they,0.09090909,0.0,0.0,0.0
16,oh well thank you in advance,what are you talkin' about i never left you you've always been my agent,0.07142857,0.0,0.0,0.0
17,yeah but i thought that was because i put the whole thing on my hand and made it walk across the table,really,0.0,0.0,0.0,0.0
18,wait but there's no money well this is terrible you guys are gonna have to get married in like a rec center,yeah,0.0,0.0,0.0,0.0
19,um but that's okay see we have an understanding um see we each have this list of five famous people so i'm allowed to sleep with you,oh well no harm no foul,0.0,0.0,0.0,0.0
20,if only he were a woman,yeah,0.0,0.0,0.0,0.0
21,are you afraid you're gonna run out,tonight youyou didn't say it was going to be at nighttime,0.0,0.0,0.0,0.0
22,yeah i don't think so joe,yeah we werewe were just looking around,0.14285714,0.0,0.0,0.0
23,oh my god they told us that was for the mascot,ohoh you'reyou're fellow scholars,0.0,0.0,0.0,0.0
24,and most importantly i youyou will have to catch us first,what exactly were you looking for hmm,0.0,0.0,0.0,0.0
25,all right all right if you insist on doing this at least let me help you,perhaps perhaps dr chester stock's musings on the smiledon californicus,0.05488116,0.0,0.0,0.0
26,i'm hoping that when bob doesn't show up she will seek comfort in the open arms of the wry stranger at the next table,uhh,0.0,0.0,0.0,0.0
27,okay sweetie you can do it just open up and put it in your mouth,ah ahget out of here uh meeting someone oror are you just here to brush up on marion's views on evolution,0.14285714,0.0,0.0,0.0
28,although i have a hint of morning sickness and i'm wearing underwear that goes up to aboutthere,uh actually i find marion's views far too progressionist,0.04567914,0.0,0.0,0.0
29,the bottom line is smoking is cool and you know it,i find marion's views far too progressionist,0.0,0.0,0.0,0.0
30,disneyland 'it's a small world after all',i'm sorry who are you,0.0,0.0,0.0,0.0
31,wow you guys really don't know anything,i'm a professor here uh rossgeller,0.0,0.0,0.0,0.0
32,yeah no i'll get one of the other girls to do it,ross geller why do i know that name it's uhwait did you write this,0.07142857,0.0,0.0,0.0
33,is that all,yes you're the person who checked out my book,0.0,0.0,0.0,0.0
34,that and arrogance,y'know you look nothing like i would've thought you'reyou're so young,0.0,0.0,0.0,0.0
35,oh yeah well i just started wearing bras again,well i uh i skipped forth grade,0.2147078,0.16398579,0.0,0.0
36,oo you should have one of us do it,what,0.0,0.0,0.0,0.0
37,he does,i was doing great with julie before i found out about you,0.0,0.0,0.0,0.0
38,okay what else,hey i was doin' great before i found out about you you think it's easy for me to see you with julie,0.0,0.0,0.0,0.0
39,okay blablablabla who is it,the point is i,0.1947002,0.0,0.0,0.0
40,ahh gepeto dollars are you insane,i don't need this right now ok,0.0,0.0,0.0,0.0
41,you're you're really you're so good,it it's too late i'm with somebody else i'm happy,0.0,0.0,0.0,0.0
42,oh that's fine go with your instincts go with your instincts,this ship has sailed,0.0,0.0,0.0,0.0
43,thank you,alright fine you go ahead and you do that alright ross,0.09090909,0.0,0.0,0.0
44,yes i'vei've never seen a roll like this in my life,fine,0.0,0.0,0.0,0.0
45,if i can't have it you can't have it,cause i don't need your stupid ship,0.1073539,0.0,0.0,0.0
46,i'm already fed up with this story,good,0.0,0.0,0.0,0.0
47,ezels,good,0.0,0.0,0.0,0.0
48,ah susan will be so pleased,y'know monica and chandler are married ross and rachel are having a baby maybe you and i should do something,0.0,0.0,0.0,0.0
49,was it,all in good time my love,0.0,0.0,0.0,0.0
50,i mean your dad tells me that you get a couple of days off school and you you ah don't have to sell those cookies anymore,all in good time,0.0,0.0,0.0,0.0
51,so ross what your problem,oh shoot,0.0,0.0,0.0,0.0
52,excuse me doug hey there sports fan,i left my guitar in their apartment,0.0,0.0,0.0,0.0
53,rdtor,well you can let me in later,0.0,0.0,0.0,0.0
54,all right julie,i don't have a key they took mine to give to you,0.0,0.0,0.0,0.0
55,don't go anywhere i'll be right back,oh we did but my mom got us the greatest gift of all,0.0,0.0,0.0,0.0
56,i don't know,a,0.0,0.0,0.0,0.0
57,they've only been going out for a few weeks and phoebe is completely hung up on mike,no she's going to live with us for eight weeks,0.14897559,0.0,0.0,0.0
58,okay i admit it,uh what,0.0,0.0,0.0,0.0
59,it's not kicking right now although we would love to see you do that again,yes she's gonna help us take care of the baby woohoo,0.0,0.0,0.0,0.0
60,joey i am scared to death about this,whatyou're not serious,0.0,0.0,0.0,0.0
61,sorry i justcan't sleep,i mean she's a very nice woman but there is no way we can take eight weeks of her,0.05263158,0.0,0.0,0.0
62,and y'know and um i,she'll drive us totally crazy,0.0,0.0,0.0,0.0
63,okay that's great no i'm oh,hi ross,0.0,0.0,0.0,0.0
64,hi all right let's go shoppin',hi roomie,0.06766764,0.0,0.0,0.0
65,hey joey so did you hear about the new guy,i don't know,0.0,0.0,0.0,0.0
66,i want you to know it wasn't me who turned you in,it's not like it's porn,0.0,0.0,0.0,0.0
67,it's so hard,this is a serious legitimate movie,0.0,0.0,0.0,0.0
68,god he's good,and the nudity is really important to the story,0.0,0.0,0.0,0.0
69,okayyyyy open up,that's what you say about porn,0.0,0.0,0.0,0.0
70,because then i don't have to,you're right maybe i shouldn't even go on the call back,0.09090909,0.0,0.0,0.0
71,no god no that is no place for a woman those guys will grab anything,no no you should a lot of major actors do nude scenes i mean the chance to star in a movie come on,0.13043478,0.0,0.0,0.0
72,really helped speed the process along,well that's true,0.0,0.0,0.0,0.0
73,what's my little chef got for me tonight,and i am only naked in one scene,0.0,0.0,0.0,0.0
74,you're doin' this,plus it sounds really great,0.0,0.0,0.0,0.0
