,ref,ans,bleu-1,bleu-2,bleu-3,bleu-4
0,and you'll be all 'ohh man',you're a genius,0.0,0.0,0.0,0.0
1,you don't think this is too fast,aww man now we won't be bank buddies,0.0,0.0,0.0,0.0
2,no i'm sorry,now there's two reasons,0.0,0.0,0.0,0.0
3,we're on in,hey,0.0,0.0,0.0,0.0
4,this is so great,hey,0.0,0.0,0.0,0.0
5,hey how you doin',ohh you guys remember that cute client i told you about i bit him,0.07142857,0.0,0.0,0.0
6,i know,where,0.0,0.0,0.0,0.0
7,i should just go on to happier things okay umm why don't you tell about your lovely wedding,on the touchy,0.00224598,0.0,0.0,0.0
8,no it's worse than that,and,0.0,0.0,0.0,0.0
9,let's also get a hot plate,no i know,0.0,0.0,0.0,0.0
10,i'm telling you i think phoebe thinks i'm foxy,ii'm sorry but the moment i touch him i just wanna throw out my old oath and take a new dirty one,0.04545455,0.0,0.0,0.0
11,y'know the charity was a big success and they raised a lot of money and awareness,well next time your massaging him you should try and distract yourself,0.05971094,0.0,0.0,0.0
12,umm well there's rachel and umm i think that's it how bout you,yeah yeah yeah likelike when i'm doing something exciting and i don't wanna get,0.14285714,0.0,0.0,0.0
13,i'm gonna go to the bathroom maybe i'll see you there in a bit,thank you joey,0.00852051,0.0,0.0,0.0
14,oh okay y'know what this is,nono thank you,0.0,0.0,0.0,0.0
15,no,well well well joey tribbiani so you came back huh they,0.0,0.0,0.0,0.0
16,ohhh i thought it was like long island,what are you talkin' about i never left you you've always been my agent,0.07142857,0.0,0.0,0.0
17,ross you're like my best friend,really,0.0,0.0,0.0,0.0
18,well not right now,yeah,0.0,0.0,0.0,0.0
19,yeah where were you,oh well no harm no foul,0.0,0.0,0.0,0.0
20,i don't know rach,yeah,0.0,0.0,0.0,0.0
21,you sure,tonight youyou didn't say it was going to be at nighttime,0.0,0.0,0.0,0.0
22,i can't say that i'm surprised,yeah we werewe were just looking around,0.0,0.0,0.0,0.0
23,okay you guys you guys i think i know what's going on here okay you guys,ohoh you'reyou're fellow scholars,0.0,0.0,0.0,0.0
24,if you're gonna get all sensitive about it,what exactly were you looking for hmm,0.0,0.0,0.0,0.0
25,ohh you are,perhaps perhaps dr chester stock's musings on the smiledon californicus,0.0,0.0,0.0,0.0
26,okay now close you eyes and think of a happy place,uhh,0.0,0.0,0.0,0.0
27,i mean you're my favorite guy in the whole world,ah ahget out of here uh meeting someone oror are you just here to brush up on marion's views on evolution,0.0,0.0,0.0,0.0
28,excuse me umm can i talk to you over here for just a second,uh actually i find marion's views far too progressionist,0.06375038,0.0,0.0,0.0
29,ross are you crazy i am,i find marion's views far too progressionist,0.14285714,0.0,0.0,0.0
30,okay,i'm sorry who are you,0.0,0.0,0.0,0.0
31,uhoh,i'm a professor here uh rossgeller,0.0,0.0,0.0,0.0
32,oh that's okay by the way i was just checking the shower massager,ross geller why do i know that name it's uhwait did you write this,0.07142857,0.0,0.0,0.0
33,well why don't you tell me what you're supposed to be,yes you're the person who checked out my book,0.08897082,0.0,0.0,0.0
34,well have we finished the scene,y'know you look nothing like i would've thought you'reyou're so young,0.0,0.0,0.0,0.0
35,i said some things that i didn't mean and he he threw some faeces,well i uh i skipped forth grade,0.10510841,0.0,0.0,0.0
36,oh god,what,0.0,0.0,0.0,0.0
37,i'm a lady monica i don't kiss and tell but this hickey speaks for itself,i was doing great with julie before i found out about you,0.06490007,0.0,0.0,0.0
38,y'know what you should do you should get her one of those um barium enemas,hey i was doin' great before i found out about you you think it's easy for me to see you with julie,0.09090909,0.0,0.0,0.0
39,i don't know i can't tell what ever it was went back in too quickly,the point is i,0.01598197,0.0,0.0,0.0
40,i'm from long island,i don't need this right now ok,0.0,0.0,0.0,0.0
41,i used to think of you as somebody that would never ever hurt me ever,it it's too late i'm with somebody else i'm happy,0.06065307,0.0,0.0,0.0
42,so if i said yes he would know i had nothing better to do than wait around for an invitation to his stupid party,this ship has sailed,0.0,0.0,0.0,0.0
43,oh yeah did he pull the old,alright fine you go ahead and you do that alright ross,0.0,0.0,0.0,0.0
44,please what about you and chandler,fine,0.0,0.0,0.0,0.0
45,well yeah don'tdon't you think it's a she,cause i don't need your stupid ship,0.0,0.0,0.0,0.0
46,i don't know ooh ooh look it ahha,good,0.0,0.0,0.0,0.0
47,you sure,good,0.0,0.0,0.0,0.0
48,done,y'know monica and chandler are married ross and rachel are having a baby maybe you and i should do something,0.0,0.0,0.0,0.0
49,y'know the next time we see them we're just gonna tell them,all in good time my love,0.06131324,0.0,0.0,0.0
50,i don't know rach,all in good time,0.0,0.0,0.0,0.0
51,you get the pretty one i get the mess,oh shoot,0.0,0.0,0.0,0.0
52,division between people in white coats and people in blue blazers and i ask myself my god why,i left my guitar in their apartment,0.08903494,0.0,0.0,0.0
53,okay can i borrow dollars,well you can let me in later,0.14285714,0.0,0.0,0.0
54,oh yeah of course you don't,i don't have a key they took mine to give to you,0.16666667,0.0,0.0,0.0
55,y'know one of them had never been to a bachelor party before,oh we did but my mom got us the greatest gift of all,0.07692308,0.0,0.0,0.0
56,oh you do do you,a,0.0,0.0,0.0,0.0
57,i'm not getting into this again,no she's going to live with us for eight weeks,0.0,0.0,0.0,0.0
58,and i'll make you an assistant buyer in this department,uh what,0.0,0.0,0.0,0.0
59,i'd better go she goes and sits down in the,yes she's gonna help us take care of the baby woohoo,0.09090909,0.0,0.0,0.0
60,yeah sure all right whose court is the ball in now,whatyou're not serious,0.0,0.0,0.0,0.0
61,oh that's better then,i mean she's a very nice woman but there is no way we can take eight weeks of her,0.0,0.0,0.0,0.0
62,okay sorry,she'll drive us totally crazy,0.0,0.0,0.0,0.0
63,cause you're a little princess daddy buy me a pizza daddy buy me a candy factory daddy make the cast of,hi ross,0.0,0.0,0.0,0.0
64,you know that's nice y'know we could put it back there after the surgeons remove it from your colon,hi roomie,0.0,0.0,0.0,0.0
65,i'd love an ice water,i don't know,0.0,0.0,0.0,0.0
66,i buty'know i'm gonna go out with him again i'll find out more,it's not like it's porn,0.0,0.0,0.0,0.0
67,i got no sleep last night,this is a serious legitimate movie,0.0,0.0,0.0,0.0
68,i guess you don't,and the nudity is really important to the story,0.0,0.0,0.0,0.0
69,yeah,that's what you say about porn,0.0,0.0,0.0,0.0
70,i can't believe he did this,you're right maybe i shouldn't even go on the call back,0.09090909,0.0,0.0,0.0
71,okay you don't think i thought of that,no no you should a lot of major actors do nude scenes i mean the chance to star in a movie come on,0.13043478,0.0,0.0,0.0
72,that's lafite the'latour is actually drinking quite nicely,well that's true,0.06295853,0.0,0.0,0.0
73,wow look at that chip matthews called i wonder what he wants,and i am only naked in one scene,0.07581633,0.0,0.0,0.0
74,y'know she's well she'sshe's just as pretty i guess she's smart she's,plus it sounds really great,0.0,0.0,0.0,0.0
75,i'm from long island,my character's catholic and he falls in love with this jewish girl,0.0,0.0,0.0,0.0
76,i mean we're scientists right,who run away together and they get caught in this big rainstorm,0.0,0.0,0.0,0.0
77,i'm not gonna be able to do that for so long and it's so much fun,so we go into this barn and undress each other and hold each other,0.1238397,0.0,0.0,0.0
78,i was going to tell you but,it's really sweet andand tender,0.0,0.0,0.0,0.0
